# Bukkit 1.8.8 org.bukkit.Material, dumped from spigot-1.8.8.jar:
#   for (Material m : Material.values())
#       print(m.name(), m.getId(), m.isBlock() ? "block" : "item",
#             m.getMaxDurability(), m.getMaxStackSize());
#
# Vendored so tools/gen_blockmap.py is reproducible without the server jar.
# Material.getId() IS the vanilla numeric block/item id -- spot-checked against
# MCP-919's Block.registerBlocks(): WATER=8 flowing_water, STATIONARY_WATER=9
# water, LAVA=10 flowing_lava, STATIONARY_LAVA=11 lava, TNT=46 tnt,
# DOUBLE_STEP=43 double_stone_slab, STEP=44 stone_slab, LONG_GRASS=31 tallgrass.
#
# name	id	kind	maxDurability	maxStackSize
CACTUS	81	block	0	64
CLAY	82	block	0	64
SUGAR_CANE_BLOCK	83	block	0	64
JUKEBOX	84	block	0	64
FENCE	85	block	0	64
PUMPKIN	86	block	0	64
NETHERRACK	87	block	0	64
SOUL_SAND	88	block	0	64
GLOWSTONE	89	block	0	64
PORTAL	90	block	0	64
JACK_O_LANTERN	91	block	0	64
CAKE_BLOCK	92	block	0	64
DIODE_BLOCK_OFF	93	block	0	64
DIODE_BLOCK_ON	94	block	0	64
STAINED_GLASS	95	block	0	64
TRAP_DOOR	96	block	0	64
MONSTER_EGGS	97	block	0	64
SMOOTH_BRICK	98	block	0	64
HUGE_MUSHROOM_1	99	block	0	64
HUGE_MUSHROOM_2	100	block	0	64
IRON_FENCE	101	block	0	64
THIN_GLASS	102	block	0	64
MELON_BLOCK	103	block	0	64
PUMPKIN_STEM	104	block	0	64
MELON_STEM	105	block	0	64
VINE	106	block	0	64
FENCE_GATE	107	block	0	64
BRICK_STAIRS	108	block	0	64
SMOOTH_STAIRS	109	block	0	64
MYCEL	110	block	0	64
WATER_LILY	111	block	0	64
NETHER_BRICK	112	block	0	64
NETHER_FENCE	113	block	0	64
NETHER_BRICK_STAIRS	114	block	0	64
NETHER_WARTS	115	block	0	64
ENCHANTMENT_TABLE	116	block	0	64
BREWING_STAND	117	block	0	64
CAULDRON	118	block	0	64
ENDER_PORTAL	119	block	0	64
ENDER_PORTAL_FRAME	120	block	0	64
ENDER_STONE	121	block	0	64
DRAGON_EGG	122	block	0	64
REDSTONE_LAMP_OFF	123	block	0	64
REDSTONE_LAMP_ON	124	block	0	64
WOOD_DOUBLE_STEP	125	block	0	64
WOOD_STEP	126	block	0	64
COCOA	127	block	0	64
SANDSTONE_STAIRS	128	block	0	64
EMERALD_ORE	129	block	0	64
ENDER_CHEST	130	block	0	64
TRIPWIRE_HOOK	131	block	0	64
TRIPWIRE	132	block	0	64
EMERALD_BLOCK	133	block	0	64
SPRUCE_WOOD_STAIRS	134	block	0	64
BIRCH_WOOD_STAIRS	135	block	0	64
JUNGLE_WOOD_STAIRS	136	block	0	64
COMMAND	137	block	0	64
BEACON	138	block	0	64
COBBLE_WALL	139	block	0	64
FLOWER_POT	140	block	0	64
CARROT	141	block	0	64
POTATO	142	block	0	64
WOOD_BUTTON	143	block	0	64
SKULL	144	block	0	64
ANVIL	145	block	0	64
TRAPPED_CHEST	146	block	0	64
GOLD_PLATE	147	block	0	64
IRON_PLATE	148	block	0	64
REDSTONE_COMPARATOR_OFF	149	block	0	64
REDSTONE_COMPARATOR_ON	150	block	0	64
DAYLIGHT_DETECTOR	151	block	0	64
REDSTONE_BLOCK	152	block	0	64
QUARTZ_ORE	153	block	0	64
HOPPER	154	block	0	64
QUARTZ_BLOCK	155	block	0	64
QUARTZ_STAIRS	156	block	0	64
ACTIVATOR_RAIL	157	block	0	64
DROPPER	158	block	0	64
STAINED_CLAY	159	block	0	64
STAINED_GLASS_PANE	160	block	0	64
LEAVES_2	161	block	0	64
LOG_2	162	block	0	64
ACACIA_STAIRS	163	block	0	64
DARK_OAK_STAIRS	164	block	0	64
SLIME_BLOCK	165	block	0	64
BARRIER	166	block	0	64
IRON_TRAPDOOR	167	block	0	64
PRISMARINE	168	block	0	64
SEA_LANTERN	169	block	0	64
HAY_BLOCK	170	block	0	64
CARPET	171	block	0	64
HARD_CLAY	172	block	0	64
COAL_BLOCK	173	block	0	64
PACKED_ICE	174	block	0	64
DOUBLE_PLANT	175	block	0	64
STANDING_BANNER	176	block	0	64
WALL_BANNER	177	block	0	64
DAYLIGHT_DETECTOR_INVERTED	178	block	0	64
RED_SANDSTONE	179	block	0	64
RED_SANDSTONE_STAIRS	180	block	0	64
DOUBLE_STONE_SLAB2	181	block	0	64
STONE_SLAB2	182	block	0	64
SPRUCE_FENCE_GATE	183	block	0	64
BIRCH_FENCE_GATE	184	block	0	64
JUNGLE_FENCE_GATE	185	block	0	64
DARK_OAK_FENCE_GATE	186	block	0	64
ACACIA_FENCE_GATE	187	block	0	64
SPRUCE_FENCE	188	block	0	64
BIRCH_FENCE	189	block	0	64
JUNGLE_FENCE	190	block	0	64
DARK_OAK_FENCE	191	block	0	64
ACACIA_FENCE	192	block	0	64
SPRUCE_DOOR	193	block	0	64
BIRCH_DOOR	194	block	0	64
JUNGLE_DOOR	195	block	0	64
ACACIA_DOOR	196	block	0	64
DARK_OAK_DOOR	197	block	0	64
IRON_SPADE	256	item	250	1
IRON_PICKAXE	257	item	250	1
IRON_AXE	258	item	250	1
FLINT_AND_STEEL	259	item	64	1
APPLE	260	item	0	64
BOW	261	item	384	1
ARROW	262	item	0	64
COAL	263	item	0	64
DIAMOND	264	item	0	64
IRON_INGOT	265	item	0	64
GOLD_INGOT	266	item	0	64
IRON_SWORD	267	item	250	1
WOOD_SWORD	268	item	59	1
WOOD_SPADE	269	item	59	1
WOOD_PICKAXE	270	item	59	1
WOOD_AXE	271	item	59	1
STONE_SWORD	272	item	131	1
STONE_SPADE	273	item	131	1
STONE_PICKAXE	274	item	131	1
STONE_AXE	275	item	131	1
DIAMOND_SWORD	276	item	1561	1
DIAMOND_SPADE	277	item	1561	1
DIAMOND_PICKAXE	278	item	1561	1
DIAMOND_AXE	279	item	1561	1
STICK	280	item	0	64
BOWL	281	item	0	64
MUSHROOM_SOUP	282	item	0	1
GOLD_SWORD	283	item	32	1
GOLD_SPADE	284	item	32	1
GOLD_PICKAXE	285	item	32	1
GOLD_AXE	286	item	32	1
STRING	287	item	0	64
FEATHER	288	item	0	64
SULPHUR	289	item	0	64
WOOD_HOE	290	item	59	1
STONE_HOE	291	item	131	1
IRON_HOE	292	item	250	1
DIAMOND_HOE	293	item	1561	1
GOLD_HOE	294	item	32	1
SEEDS	295	item	0	64
WHEAT	296	item	0	64
BREAD	297	item	0	64
LEATHER_HELMET	298	item	55	1
LEATHER_CHESTPLATE	299	item	80	1
LEATHER_LEGGINGS	300	item	75	1
LEATHER_BOOTS	301	item	65	1
CHAINMAIL_HELMET	302	item	165	1
CHAINMAIL_CHESTPLATE	303	item	240	1
CHAINMAIL_LEGGINGS	304	item	225	1
CHAINMAIL_BOOTS	305	item	195	1
IRON_HELMET	306	item	165	1
IRON_CHESTPLATE	307	item	240	1
IRON_LEGGINGS	308	item	225	1
IRON_BOOTS	309	item	195	1
DIAMOND_HELMET	310	item	363	1
DIAMOND_CHESTPLATE	311	item	528	1
DIAMOND_LEGGINGS	312	item	495	1
DIAMOND_BOOTS	313	item	429	1
GOLD_HELMET	314	item	77	1
GOLD_CHESTPLATE	315	item	112	1
GOLD_LEGGINGS	316	item	105	1
GOLD_BOOTS	317	item	91	1
FLINT	318	item	0	64
PORK	319	item	0	64
GRILLED_PORK	320	item	0	64
PAINTING	321	item	0	64
GOLDEN_APPLE	322	item	0	64
SIGN	323	item	0	16
WOOD_DOOR	324	item	0	64
BUCKET	325	item	0	16
WATER_BUCKET	326	item	0	1
LAVA_BUCKET	327	item	0	1
MINECART	328	item	0	1
SADDLE	329	item	0	1
IRON_DOOR	330	item	0	64
REDSTONE	331	item	0	64
SNOW_BALL	332	item	0	16
BOAT	333	item	0	1
LEATHER	334	item	0	64
MILK_BUCKET	335	item	0	1
CLAY_BRICK	336	item	0	64
CLAY_BALL	337	item	0	64
SUGAR_CANE	338	item	0	64
PAPER	339	item	0	64
BOOK	340	item	0	64
SLIME_BALL	341	item	0	64
STORAGE_MINECART	342	item	0	1
POWERED_MINECART	343	item	0	1
EGG	344	item	0	16
COMPASS	345	item	0	64
FISHING_ROD	346	item	64	1
WATCH	347	item	0	64
GLOWSTONE_DUST	348	item	0	64
RAW_FISH	349	item	0	64
COOKED_FISH	350	item	0	64
INK_SACK	351	item	0	64
BONE	352	item	0	64
SUGAR	353	item	0	64
CAKE	354	item	0	1
BED	355	item	0	1
DIODE	356	item	0	64
COOKIE	357	item	0	64
MAP	358	item	0	64
SHEARS	359	item	238	1
MELON	360	item	0	64
PUMPKIN_SEEDS	361	item	0	64
MELON_SEEDS	362	item	0	64
RAW_BEEF	363	item	0	64
COOKED_BEEF	364	item	0	64
RAW_CHICKEN	365	item	0	64
COOKED_CHICKEN	366	item	0	64
ROTTEN_FLESH	367	item	0	64
ENDER_PEARL	368	item	0	16
BLAZE_ROD	369	item	0	64
GHAST_TEAR	370	item	0	64
GOLD_NUGGET	371	item	0	64
NETHER_STALK	372	item	0	64
POTION	373	item	0	1
GLASS_BOTTLE	374	item	0	64
SPIDER_EYE	375	item	0	64
FERMENTED_SPIDER_EYE	376	item	0	64
BLAZE_POWDER	377	item	0	64
MAGMA_CREAM	378	item	0	64
BREWING_STAND_ITEM	379	item	0	64
CAULDRON_ITEM	380	item	0	64
EYE_OF_ENDER	381	item	0	64
SPECKLED_MELON	382	item	0	64
MONSTER_EGG	383	item	0	64
EXP_BOTTLE	384	item	0	64
FIREBALL	385	item	0	64
BOOK_AND_QUILL	386	item	0	1
WRITTEN_BOOK	387	item	0	16
EMERALD	388	item	0	64
ITEM_FRAME	389	item	0	64
FLOWER_POT_ITEM	390	item	0	64
CARROT_ITEM	391	item	0	64
POTATO_ITEM	392	item	0	64
BAKED_POTATO	393	item	0	64
POISONOUS_POTATO	394	item	0	64
EMPTY_MAP	395	item	0	64
GOLDEN_CARROT	396	item	0	64
SKULL_ITEM	397	item	0	64
CARROT_STICK	398	item	25	1
NETHER_STAR	399	item	0	64
PUMPKIN_PIE	400	item	0	64
FIREWORK	401	item	0	64
FIREWORK_CHARGE	402	item	0	64
ENCHANTED_BOOK	403	item	0	1
REDSTONE_COMPARATOR	404	item	0	64
NETHER_BRICK_ITEM	405	item	0	64
QUARTZ	406	item	0	64
EXPLOSIVE_MINECART	407	item	0	1
HOPPER_MINECART	408	item	0	1
PRISMARINE_SHARD	409	item	0	64
PRISMARINE_CRYSTALS	410	item	0	64
RABBIT	411	item	0	64
COOKED_RABBIT	412	item	0	64
RABBIT_STEW	413	item	0	1
RABBIT_FOOT	414	item	0	64
RABBIT_HIDE	415	item	0	64
ARMOR_STAND	416	item	0	16
IRON_BARDING	417	item	0	1
GOLD_BARDING	418	item	0	1
DIAMOND_BARDING	419	item	0	1
LEASH	420	item	0	64
NAME_TAG	421	item	0	64
COMMAND_MINECART	422	item	0	1
MUTTON	423	item	0	64
COOKED_MUTTON	424	item	0	64
BANNER	425	item	0	16
SPRUCE_DOOR_ITEM	427	item	0	64
BIRCH_DOOR_ITEM	428	item	0	64
JUNGLE_DOOR_ITEM	429	item	0	64
ACACIA_DOOR_ITEM	430	item	0	64
DARK_OAK_DOOR_ITEM	431	item	0	64
GOLD_RECORD	2256	item	0	1
GREEN_RECORD	2257	item	0	1
RECORD_3	2258	item	0	1
RECORD_4	2259	item	0	1
RECORD_5	2260	item	0	1
RECORD_6	2261	item	0	1
RECORD_7	2262	item	0	1
RECORD_8	2263	item	0	1
RECORD_9	2264	item	0	1
RECORD_10	2265	item	0	1
RECORD_11	2266	item	0	1
RECORD_12	2267	item	0	1
